4.79598e-011	-1.15513e-010	-4995.37	-135.959	4995.37	135.959	135.959	-4995.37	-135.959	4995.37	
4.86485e-011	-1.16956e-010	-4995.23	-137.957	4995.23	137.957	137.957	-4995.23	-137.957	4995.23	
4.93939e-011	-1.18433e-010	-4995.09	-139.955	4995.09	139.955	139.955	-4995.09	-139.955	4995.09	
5.00326e-011	-1.19937e-010	-4994.95	-141.953	4994.95	141.953	141.953	-4994.95	-141.953	4994.95	
5.06069e-011	-1.21654e-010	-4994.81	-143.951	4994.81	143.951	143.951	-4994.81	-143.951	4994.81	
5.10817e-011	-1.23395e-010	-4994.66	-145.949	4994.66	145.949	145.949	-4994.66	-145.949	4994.66	
5.14832e-011	-1.24906e-010	-4994.52	-147.947	4994.52	147.947	147.947	-4994.52	-147.947	4994.52	
5.19535e-011	-1.2621e-010	-4994.37	-149.945	4994.37	149.945	149.945	-4994.37	-149.945	4994.37	
5.25026e-011	-1.27411e-010	-4994.22	-151.943	4994.22	151.943	151.943	-4994.22	-151.943	4994.22	
5.31741e-011	-1.28462e-010	-4994.06	-153.94	4994.06	153.94	153.94	-4994.06	-153.94	4994.06	
5.3795e-011	-1.29256e-010	-4993.91	-155.938	4993.91	155.938	155.938	-4993.91	-155.938	4993.91	
5.43972e-011	-1.30104e-010	-4993.75	-157.935	4993.75	157.935	157.935	-4993.75	-157.935	4993.75	
5.50947e-011	-1.31285e-010	-4993.59	-159.933	4993.59	159.933	159.933	-4993.59	-159.933	4993.59	
5.59028e-011	-1.32559e-010	-4993.43	-161.93	4993.43	161.93	161.93	-4993.43	-161.93	4993.43	
5.67853e-011	-1.33623e-010	-4993.27	-163.928	4993.27	163.928	163.928	-4993.27	-163.928	4993.27	
5.75694e-011	-1.34594e-010	-4993.1	-165.925	4993.1	165.925	165.925	-4993.1	-165.925	4993.1	
5.81148e-011	-1.35557e-010	-4992.93	-167.922	4992.93	167.922	167.922	-4992.93	-167.922	4992.93	
5.85336e-011	-1.36449e-010	-4992.76	-169.919	4992.76	169.919	169.919	-4992.76	-169.919	4992.76	
5.9011e-011	-1.37486e-010	-4992.59	-171.917	4992.59	171.917	171.917	-4992.59	-171.917	4992.59	
5.96245e-011	-1.38594e-010	-4992.42	-173.914	4992.42	173.914	173.914	-4992.42	-173.914	4992.42	
6.03328e-011	-1.39582e-010	-4992.24	-175.911	4992.24	175.911	175.911	-4992.24	-175.911	4992.24	
6.0877e-011	-1.40536e-010	-4992.07	-177.907	4992.07	177.907	177.907	-4992.07	-177.907	4992.07	
6.11832e-011	-1.41596e-010	-4991.89	-179.904	4991.89	179.904	179.904	-4991.89	-179.904	4991.89	
6.12662e-011	-1.42752e-010	-4991.71	-181.901	4991.71	181.901	181.901	-4991.71	-181.901	4991.71	
6.10485e-011	-1.43965e-010	-4991.52	-183.898	4991.52	183.898	183.898	-4991.52	-183.898	4991.52	
6.06797e-011	-1.45245e-010	-4991.34	-185.894	4991.34	185.894	185.894	-4991.34	-185.894	4991.34	
6.03472e-011	-1.46458e-010	-4991.15	-187.891	4991.15	187.891	187.891	-4991.15	-187.891	4991.15	
6.01051e-011	-1.47778e-010	-4990.96	-189.887	4990.96	189.887	189.887	-4990.96	-189.887	4990.96	
5.97898e-011	-1.49316e-010	-4990.77	-191.884	4990.77	191.884	191.884	-4990.77	-191.884	4990.77	
